Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.21438856483212E-05,-7.88297985188438E-06,0.0384433351833047,0,0,0,0.215478194166762,8.64907439125203E-05,4.34963908748107E-08,7.77088059636822E-09,8.64496606679992E-05,4.75823502430231E-09,9.73631709609537E-05,0,0,0,0,0,0,package://thirdt/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thirdt/meshes/base_link.STL,,BASE WITH MOTOR-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0598586603355525,-6.56325443677414E-05,0.0387640948619928,0,0,0,0.40723452931124,9.69457560839621E-05,2.0410980070089E-06,7.58756661601312E-05,0.00700629137057798,-1.56447376402253E-07,0.00702790486605186,0,0,0,0,0,0,package://thirdt/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thirdt/meshes/link_1.STL,,LINK ONE WITH DC MOTOR-1,Origin_join_1,Axis_join_1,join_1,continuous,0,0,0.0585999999999994,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link_2,0.0019639735133507,-0.00186487970969972,0.01454907751157,0,0,0,0.367769527757555,0.00011625704154743,-5.14813183954696E-08,-2.57587248907994E-05,0.00523054388820953,-1.69348714943658E-07,0.00529038024022097,0,0,0,0,0,0,package://thirdt/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thirdt/meshes/link_2.STL,,SECOND LINK ALONE-1,Origin_join_2,Axis_join_2,join_2,continuous,0.20874229683865,0.00179332387615486,0.0588000000000003,0,0,0,link_1,0,0,1,,,,,,,,,,,,
end_effector,7.61978507484162E-05,0.00364583216276968,0.0165950058588744,0,0,0,0.00560645979584246,4.03296465449601E-07,2.77072447095654E-09,1.11417467931953E-13,5.25753123312374E-07,3.4078301649474E-13,2.59447001769474E-07,0,0,0,0,0,0,package://thirdt/meshes/end_effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thirdt/meshes/end_effector.STL,,END EFFECTPR-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0.21593150680297,-0.00543915156978894,0.0299998999999999,0,0,0,link_2,0,0,-1,,,,,,,,,,,,
